#
1998.93369 12.80 7.97 L
1999.17408 33.63 7.17 L
1999.97128 18.35 6.44 L
2001.01165 0.88 5.85 L
2001.01429 -5.14 6.10 L
2001.01709 5.80 5.87 L
2001.04992 -1.50 6.07 L
2001.09908 13.53 6.08 L
2001.10167 13.45 6.32 L
2001.45430 -17.65 6.10 L
2002.06567 -14.97 4.72 L
2002.16120 5.50 5.98 L
2002.16649 -9.29 6.11 L
2003.13049 -22.78 4.23 L
2003.96032 -20.66 4.64 L
2003.96316 -18.05 5.25 L
2004.00956 -18.31 4.81 L
2004.26352 -42.47 5.83 L
2005.05229 -41.12 5.03 L
2005.05815 -32.01 4.92 L
2006.92539 20.38 5.46 L
2006.95556 42.47 2.80 K
2007.00210 28.05 5.22 L
2007.00472 36.03 5.33 L
2007.00740 26.61 5.16 L
2007.09195 18.36 5.43 L
2007.17675 19.74 5.27 L
2007.26151 33.31 4.83 L
2007.98755 14.49 5.27 L
2008.14057 16.07 4.63 L
2008.22279 9.73 4.87 L
2008.29645 0.97 5.21 L
2008.38397 -4.94 6.73 L
2008.39214 20.11 5.62 L
2008.42769 2.86 6.03 L
2008.47985 1.75 4.16 K
2008.85326 17.75 4.20 K
2008.85584 10.71 4.01 K
2008.85868 -6.52 3.96 K
2008.87491 -10.34 8.02 L
2008.88886 3.65 3.88 K
2008.92978 17.89 3.96 K
2008.93511 11.34 5.32 K
2008.93805 -2.68 3.92 K
2008.94051 5.14 4.05 K
2008.94338 10.12 3.93 K
2009.02007 -4.52 4.02 K
2009.03607 7.99 2.81 L
2009.03925 15.00 3.49 L
2009.04198 1.03 4.21 K
2009.04426 -0.41 3.77 L
2009.04697 -2.47 3.67 L
2009.04970 -13.64 3.63 L
2009.05243 -11.98 4.53 L
2009.08818 -3.23 4.63 L
2009.09078 -11.39 6.23 L
2009.09116 -21.38 4.11 K
2009.09359 10.95 6.34 L
2009.09890 -12.31 4.24 K
2009.26318 -7.77 4.14 K
2009.26863 -14.77 4.20 K
2009.28229 -15.93 4.35 K
2009.33710 -10.03 3.82 K
2009.36175 -3.13 3.99 K
2009.41635 -4.02 3.86 K
2009.41906 -9.49 3.92 K
2009.42181 -15.32 4.16 K
2009.42461 -1.15 3.94 K
2009.42729 -13.37 4.31 K
